Z,Symbol,Ka1,Ka2,Kb1,La1,La2,Lb1,Lb2,Lg1,Ma1,K,L1,L2,L3,M1,M2,M3,M4,M5,N1,N23,N4,N5,N6,N7,O1,O23,O45,a1,a2,a3,b1,b2,b3,c1,c2,c3,d1,d2,d3,,,,,,,,,,,,
1,H,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.20298324e-03,6.27762505e-02,3.00907347e-02,2.25350888e-01,2.25366950e-01,2.25331756e-01,6.77756695e-02,3.56609237e-03,2.76135815e-02,4.38854001e+00,4.03884823e-01,1.44490166e+00,,,,,,,,,,,,
2,He,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.87543704e-05,4.10595800e-04,1.96300059e-01,2.12427997e-01,3.32212279e-01,5.17325152e-01,8.36015738e-03,2.95102022e-02,4.65928982e-07,3.66668239e-01,1.37171827e+00,3.75768025e+04,,,,,,,,,,,,
3,Li,54.3,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.45843816e-02,7.15382250e-02,1.45315229e-01,8.81151424e-01,4.59142904e-02,8.81301714e-01,1.12125769e+00,2.51736525e-03,3.58434971e-01,1.88483665e+01,1.59189995e-01,6.12371000e+00,,,,,,,,,,,,
4,Be,108.5,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.11642897e-02,1.25755034e-01,2.00831548e-01,9.90182132e-02,9.90272412e-02,1.87392509e+00,7.87242876e-01,1.58847850e-03,2.73962031e-01,9.32794929e+00,8.91900236e-02,3.20687658e+00,,,,,,,,,,,,
5,B,183.3,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.25716066e-01,1.73314452e-01,1.84774811e-01,1.48258830e-01,1.48257216e-01,3.34227311e+00,1.95250221e-01,5.29642075e-01,1.08230500e-03,1.97339463e+00,5.70035553e+00,5.64857237e-02,,,,,,,,,,,,
6,C,277,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.12080767e-01,1.99811865e-01,1.68254385e-01,2.08605417e-01,2.08610186e-01,5.57870773e+00,1.42048360e-01,3.63830672e-01,8.35012044e-04,1.33311887e+00,3.80800263e+00,4.03982620e-02,,,,,,,,,,,,
7,N,392.4,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.33015554e-01,5.29008883e-02,9.24159648e-02,2.90952515e-01,1.03547896e+01,1.03540028e+01,2.61799101e-01,8.80262108e-04,1.10166555e-01,2.76252723e+00,3.47681236e-02,9.93421736e-01,,,,,,,,,,,,
8,O,524.9,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.39969204e-01,3.07570172e-01,1.30369072e-01,3.81570280e-01,3.81571436e-01,1.91919745e+01,8.83326058e-02,1.96586700e-01,9.96220028e-04,7.60635525e-01,2.07401094e+00,3.03266869e-02,,,,,,,,,,,,
9,Fr,676.8,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.30560593e-01,5.26889648e-01,1.24346755e-01,4.80754213e-01,4.80763895e-01,3.95306720e+01,1.24616894e-03,7.20452555e-02,1.53075777e-01,2.62181803e-02,5.92495593e-01,1.59127671e+00,,,,,,,,,,,,
10,Ne,848.6,848.6,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,867,45,18,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.08371771e-01,4.54418858e-01,1.44564923e-01,5.88228627e-01,5.88288655e-01,1.21246013e+02,5.91531395e-02,1.24003718e-01,1.64986037e-03,4.63963540e-01,1.23413025e+00,2.05869217e-02,,,,,,,,,,,,
